Age;StdESP2013;StdSegiDoll1960;StdWHO2001
0;50000;120000;88569
5;55000;100000;86870
10;55000;90000;85970
15;55000;90000;84670
20;60000;80000;82171
25;60000;80000;79272
30;65000;60000;76073
35;70000;60000;71475
40;70000;60000;65877
45;70000;60000;60379
50;70000;50000;53681
55;65000;40000;45484
60;60000;40000;37187
65;55000;30000;29590
70;50000;20000;22092
75;40000;10000;15195
80;25000;5000;9097
85;25000;5000;6348
