"A továbbszámított népesség száma megyék és a település jogállása szerint"
"Magyaroszág lakónépessége"



" ";"Mutatók";
"Idõszak";"Nem";"Korév";"Terület";"Népesség száma január 1-jén (fõ)";"Évközepi népesség száma (fõ)";
"1990. év";"Férfi";"0 -  4 éves";"Budapest";"49134";"49325,5";
"";"";"";"Pest megye";"29562";"29470,5";
"";"";"";"Fejér megye";"14195";"14195,5";
"";"";"";"Komárom-Esztergom megye";"10130";"10032,5";
"";"";"";"Veszprém megye";"12354";"12322,5";
"";"";"";"Gyõr-Moson-Sopron megye";"12738";"12681,0";
"";"";"";"Vas megye";"8228";"8222,5";
"";"";"";"Zala megye";"9371";"9247,5";
"";"";"";"Baranya megye";"12644";"12632,0";
"";"";"";"Somogy megye";"10236";"10210,0";
"";"";"";"Tolna megye";"8011";"7987,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"26595";"26420,0";
"";"";"";"Heves megye";"9702";"9670,5";
"";"";"";"Nógrád megye";"6720";"6708,5";
"";"";"";"Hajdú-Bihar megye";"18792";"18784,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"21515";"21261,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"13689";"13677,5";
"";"";"";"Bács-Kiskun megye";"16962";"17026,0";
"";"";"";"Békés megye";"12544";"12410,0";
"";"";"";"Csongrád megye";"12686";"12723,0";
"";"";"5 - 9  éves";"Budapest";"54328";"53542,0";
"";"";"";"Pest megye";"31168";"30877,5";
"";"";"";"Fejér megye";"14788";"14630,0";
"";"";"";"Komárom-Esztergom megye";"10424";"10337,0";
"";"";"";"Veszprém megye";"13724";"13471,0";
"";"";"";"Gyõr-Moson-Sopron megye";"14265";"13989,5";
"";"";"";"Vas megye";"8996";"8797,0";
"";"";"";"Zala megye";"10081";"9984,0";
"";"";"";"Baranya megye";"13216";"13031,5";
"";"";"";"Somogy megye";"11010";"10883,5";
"";"";"";"Tolna megye";"8667";"8581,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"27015";"26656,5";
"";"";"";"Heves megye";"10558";"10388,0";
"";"";"";"Nógrád megye";"7345";"7222,0";
"";"";"";"Hajdú-Bihar megye";"19268";"19046,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"22272";"22035,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"14553";"14285,5";
"";"";"";"Bács-Kiskun megye";"17400";"17156,0";
"";"";"";"Békés megye";"13115";"12931,5";
"";"";"";"Csongrád megye";"13163";"13020,0";
"";"";"10 - 14 éves";"Budapest";"76380";"74465,5";
"";"";"";"Pest megye";"41749";"40561,5";
"";"";"";"Fejér megye";"19583";"19016,0";
"";"";"";"Komárom-Esztergom megye";"13866";"13401,0";
"";"";"";"Veszprém megye";"17117";"16745,5";
"";"";"";"Gyõr-Moson-Sopron megye";"19191";"18662,0";
"";"";"";"Vas megye";"11820";"11485,5";
"";"";"";"Zala megye";"13015";"12670,5";
"";"";"";"Baranya megye";"17135";"16689,5";
"";"";"";"Somogy megye";"14353";"13960,0";
"";"";"";"Tolna megye";"10745";"10431,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"33093";"32317,5";
"";"";"";"Heves megye";"13815";"13322,0";
"";"";"";"Nógrád megye";"9430";"9122,5";
"";"";"";"Hajdú-Bihar megye";"24383";"23774,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"26652";"25992,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"18851";"18335,0";
"";"";"";"Bács-Kiskun megye";"22906";"22263,0";
"";"";"";"Békés megye";"17193";"16606,0";
"";"";"";"Csongrád megye";"17986";"17370,5";
"";"";"15 - 19 éves";"Budapest";"72612";"74304,5";
"";"";"";"Pest megye";"37203";"38422,5";
"";"";"";"Fejér megye";"16945";"17577,5";
"";"";"";"Komárom-Esztergom megye";"12434";"12832,5";
"";"";"";"Veszprém megye";"14303";"14779,0";
"";"";"";"Gyõr-Moson-Sopron megye";"17979";"18380,5";
