"A továbbszámított népesség száma megyék és a település jogállása szerint"
"Magyaroszág lakónépessége"



" ";"Mutatók";
"Idõszak";"Nem";"Korév";"Terület";"Népesség száma január 1-jén (fõ)";"Évközepi népesség száma (fõ)";
"";"";"";"Vas megye";"10788";"11146,5";
"";"";"";"Zala megye";"11136";"11432,0";
"";"";"";"Baranya megye";"16173";"16612,0";
"";"";"";"Somogy megye";"12282";"12769,0";
"";"";"";"Tolna megye";"9060";"9432,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"29190";"29845,5";
"";"";"";"Heves megye";"12290";"12695,5";
"";"";"";"Nógrád megye";"8035";"8303,5";
"";"";"";"Hajdú-Bihar megye";"22375";"23072,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"22834";"23562,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"15909";"16473,5";
"";"";"";"Bács-Kiskun megye";"20147";"20754,5";
"";"";"";"Békés megye";"14807";"15333,5";
"";"";"";"Csongrád megye";"16902";"17435,0";
"";"";"20 - 24 éves";"Budapest";"70611";"72214,5";
"";"";"";"Pest megye";"32943";"33614,5";
"";"";"";"Fejér megye";"14463";"14713,0";
"";"";"";"Komárom-Esztergom megye";"10550";"10579,5";
"";"";"";"Veszprém megye";"13003";"13133,5";
"";"";"";"Gyõr-Moson-Sopron megye";"14321";"14675,0";
"";"";"";"Vas megye";"8951";"9108,5";
"";"";"";"Zala megye";"9564";"9673,5";
"";"";"";"Baranya megye";"14684";"14841,0";
"";"";"";"Somogy megye";"10532";"10633,0";
"";"";"";"Tolna megye";"7883";"7961,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"25787";"25953,5";
"";"";"";"Heves megye";"9930";"10122,0";
"";"";"";"Nógrád megye";"7087";"7201,0";
"";"";"";"Hajdú-Bihar megye";"19285";"19587,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"19498";"19450,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"13136";"13286,0";
"";"";"";"Bács-Kiskun megye";"17306";"17578,5";
"";"";"";"Békés megye";"12540";"12695,5";
"";"";"";"Csongrád megye";"14787";"15066,0";
"";"";"25 - 29 éves";"Budapest";"56168";"56636,0";
"";"";"";"Pest megye";"28483";"28412,0";
"";"";"";"Fejér megye";"13818";"13601,0";
"";"";"";"Komárom-Esztergom megye";"10379";"10279,5";
"";"";"";"Veszprém megye";"12665";"12505,5";
"";"";"";"Gyõr-Moson-Sopron megye";"12594";"12566,0";
"";"";"";"Vas megye";"8517";"8430,0";
"";"";"";"Zala megye";"9348";"9209,5";
"";"";"";"Baranya megye";"13425";"13159,5";
"";"";"";"Somogy megye";"10521";"10296,0";
"";"";"";"Tolna megye";"7579";"7489,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"24190";"23795,0";
"";"";"";"Heves megye";"9623";"9526,5";
"";"";"";"Nógrád megye";"6948";"6786,0";
"";"";"";"Hajdú-Bihar megye";"17697";"17545,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"18497";"18183,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"12465";"12266,5";
"";"";"";"Bács-Kiskun megye";"16539";"16324,0";
"";"";"";"Békés megye";"11764";"11642,0";
"";"";"";"Csongrád megye";"12451";"12481,0";
"";"";"30 - 34 éves";"Budapest";"66119";"63694,0";
"";"";"";"Pest megye";"35000";"33951,0";
"";"";"";"Fejér megye";"17227";"16727,0";
"";"";"";"Komárom-Esztergom megye";"12659";"12226,5";
"";"";"";"Veszprém megye";"15623";"15113,5";
"";"";"";"Gyõr-Moson-Sopron megye";"16251";"15656,0";
"";"";"";"Vas megye";"10489";"10159,0";
"";"";"";"Zala megye";"12383";"11981,5";
"";"";"";"Baranya megye";"17132";"16628,0";
"";"";"";"Somogy megye";"13520";"13090,5";
"";"";"";"Tolna megye";"9924";"9612,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"29216";"28421,0";
"";"";"";"Heves megye";"12214";"11855,5";
"";"";"";"Nógrád megye";"8455";"8200,5";
"";"";"";"Hajdú-Bihar megye";"21415";"20818,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"22921";"22339,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"15955";"15331,5";
"";"";"";"Bács-Kiskun megye";"21050";"20379,0";
"";"";"";"Békés megye";"15628";"14973,5";
"";"";"";"Csongrád megye";"15852";"15274,5";
"";"";"35 - 39 éves";"Budapest";"83954";"84072,5";
"";"";"";"Pest megye";"41176";"41177,0";
"";"";"";"Fejér megye";"18359";"18654,5";
"";"";"";"Komárom-Esztergom megye";"13316";"13448,5";
"";"";"";"Veszprém megye";"16038";"16297,0";
"";"";"";"Gyõr-Moson-Sopron megye";"17674";"17883,0";
"";"";"";"Vas megye";"11669";"11772,0";
"";"";"";"Zala megye";"12503";"12697,5";
"";"";"";"Baranya megye";"16615";"16935,0";
"";"";"";"Somogy megye";"14251";"14398,0";
"";"";"";"Tolna megye";"10576";"10628,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"29195";"29523,0";
"";"";"";"Heves megye";"13034";"13207,0";
"";"";"";"Nógrád megye";"8942";"9078,5";
"";"";"";"Hajdú-Bihar megye";"21311";"21663,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"22742";"23011,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"16831";"17087,5";
"";"";"";"Bács-Kiskun megye";"21412";"21596,5";
"";"";"";"Békés megye";"16323";"16513,0";
"";"";"";"Csongrád megye";"17178";"17353,0";
"";"";"40 - 44 éves";"Budapest";"73252";"73444,0";
"";"";"";"Pest megye";"35860";"36583,5";
"";"";"";"Fejér megye";"14424";"14910,0";
"";"";"";"Komárom-Esztergom megye";"11105";"11346,0";
"";"";"";"Veszprém megye";"12931";"13287,5";
"";"";"";"Gyõr-Moson-Sopron megye";"15084";"15357,5";
"";"";"";"Vas megye";"9908";"10179,0";
"";"";"";"Zala megye";"10172";"10458,5";
"";"";"";"Baranya megye";"13432";"13865,5";
"";"";"";"Somogy megye";"11750";"12101,5";
"";"";"";"Tolna megye";"8685";"8976,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"23646";"24322,5";
"";"";"";"Heves megye";"11106";"11399,0";
"";"";"";"Nógrád megye";"7467";"7621,0";
"";"";"";"Hajdú-Bihar megye";"17613";"18136,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"17835";"18611,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"13855";"14287,0";
"";"";"";"Bács-Kiskun megye";"18587";"18983,0";
"";"";"";"Békés megye";"13842";"14286,0";
"";"";"";"Csongrád megye";"14889";"15224,5";
"";"";"45 - 49 éves";"Budapest";"69169";"69376,5";
"";"";"";"Pest megye";"32459";"32540,5";
"";"";"";"Fejér megye";"12919";"12836,0";
"";"";"";"Komárom-Esztergom megye";"10676";"10550,0";
"";"";"";"Veszprém megye";"12159";"12035,5";
"";"";"";"Gyõr-Moson-Sopron megye";"13613";"13624,0";
"";"";"";"Vas megye";"8638";"8608,0";
"";"";"";"Zala megye";"9054";"9030,0";
"";"";"";"Baranya megye";"12864";"12663,0";
"";"";"";"Somogy megye";"10306";"10315,5";
"";"";"";"Tolna megye";"7794";"7714,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"22941";"22518,5";
"";"";"";"Heves megye";"10561";"10436,5";
"";"";"";"Nógrád megye";"7516";"7415,5";
"";"";"";"Hajdú-Bihar megye";"15773";"15638,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"14658";"14419,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"13237";"13049,5";
"";"";"";"Bács-Kiskun megye";"16987";"16951,0";
"";"";"";"Békés megye";"12681";"12557,0";
"";"";"";"Csongrád megye";"14139";"14033,0";
"";"";"50 - 54 éves";"Budapest";"51407";"52118,5";
"";"";"";"Pest megye";"25931";"26222,0";
"";"";"";"Fejér megye";"11320";"11302,0";
"";"";"";"Komárom-Esztergom megye";"9303";"9369,0";
"";"";"";"Veszprém megye";"10286";"10371,0";
"";"";"";"Gyõr-Moson-Sopron megye";"10620";"10828,0";
"";"";"";"Vas megye";"7108";"7213,5";
"";"";"";"Zala megye";"7814";"7840,0";
"";"";"";"Baranya megye";"12179";"12143,0";
"";"";"";"Somogy megye";"9100";"9117,0";
"";"";"";"Tolna megye";"6948";"6943,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"21709";"21579,5";
"";"";"";"Heves megye";"9364";"9315,5";
"";"";"";"Nógrád megye";"6819";"6822,5";
"";"";"";"Hajdú-Bihar megye";"13929";"13995,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"13652";"13707,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"12161";"12175,5";
"";"";"";"Bács-Kiskun megye";"14820";"14833,0";
"";"";"";"Békés megye";"11383";"11386,5";
"";"";"";"Csongrád megye";"11729";"11898,5";
"";"";"55 - 59 éves";"Budapest";"52345";"51115,0";
"";"";"";"Pest megye";"24957";"24648,0";
"";"";"";"Fejér megye";"11694";"11579,0";
"";"";"";"Komárom-Esztergom megye";"8769";"8737,0";
"";"";"";"Veszprém megye";"10506";"10319,0";
"";"";"";"Gyõr-Moson-Sopron megye";"11069";"10860,0";
"";"";"";"Vas megye";"7241";"7107,0";
"";"";"";"Zala megye";"8454";"8256,5";
"";"";"";"Baranya megye";"11890";"11811,5";
"";"";"";"Somogy megye";"9772";"9545,5";
"";"";"";"Tolna megye";"6990";"6881,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"21599";"21333,0";
"";"";"";"Heves megye";"9986";"9888,5";
"";"";"";"Nógrád megye";"6827";"6755,5";
"";"";"";"Hajdú-Bihar megye";"13832";"13640,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"14187";"14028,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"12138";"12009,0";
"";"";"";"Bács-Kiskun megye";"14919";"14630,0";
"";"";"";"Békés megye";"11302";"11171,5";
"";"";"";"Csongrád megye";"11443";"11251,0";
"";"";"60 - 64 éves";"Budapest";"50324";"50186,0";
"";"";"";"Pest megye";"22292";"22301,5";
"";"";"";"Fejér megye";"10091";"10170,0";
"";"";"";"Komárom-Esztergom megye";"7483";"7441,5";
"";"";"";"Veszprém megye";"9300";"9369,5";
"";"";"";"Gyõr-Moson-Sopron megye";"10769";"10701,5";
"";"";"";"Vas megye";"6940";"6891,5";
"";"";"";"Zala megye";"8219";"8210,0";
"";"";"";"Baranya megye";"10875";"10789,5";
"";"";"";"Somogy megye";"9417";"9327,5";
"";"";"";"Tolna megye";"6560";"6524,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"18690";"18683,5";
"";"";"";"Heves megye";"8913";"8896,5";
"";"";"";"Nógrád megye";"5817";"5840,5";
"";"";"";"Hajdú-Bihar megye";"12804";"12741,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"13665";"13456,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"11219";"11146,0";
"";"";"";"Bács-Kiskun megye";"14217";"14122,0";
"";"";"";"Békés megye";"11061";"10890,0";
"";"";"";"Csongrád megye";"11200";"11106,5";
"";"";"65 - 69 éves";"Budapest";"43920";"43605,0";
"";"";"";"Pest megye";"18443";"18416,5";
"";"";"";"Fejér megye";"7820";"7876,0";
"";"";"";"Komárom-Esztergom megye";"6184";"6204,5";
"";"";"";"Veszprém megye";"7624";"7631,5";
"";"";"";"Gyõr-Moson-Sopron megye";"9316";"9374,0";
"";"";"";"Vas megye";"6392";"6373,5";
"";"";"";"Zala megye";"7309";"7293,5";
"";"";"";"Baranya megye";"8645";"8634,5";
"";"";"";"Somogy megye";"7865";"7943,0";
"";"";"";"Tolna megye";"5795";"5796,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"15481";"15569,5";
"";"";"";"Heves megye";"7443";"7483,5";
"";"";"";"Nógrád megye";"5056";"5068,0";
"";"";"";"Hajdú-Bihar megye";"10957";"11085,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"11791";"11911,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"9195";"9324,5";
"";"";"";"Bács-Kiskun megye";"11879";"11973,0";
"";"";"";"Békés megye";"10206";"10241,5";
"";"";"";"Csongrád megye";"9862";"9923,0";
"";"";"70 - 74 éves";"Budapest";"24365";"25363,0";
"";"";"";"Pest megye";"9294";"9808,5";
"";"";"";"Fejér megye";"3322";"3599,0";
"";"";"";"Komárom-Esztergom megye";"2825";"3012,0";
"";"";"";"Veszprém megye";"3526";"3786,5";
"";"";"";"Gyõr-Moson-Sopron megye";"4388";"4602,0";
"";"";"";"Vas megye";"3004";"3207,0";
"";"";"";"Zala megye";"3152";"3384,0";
"";"";"";"Baranya megye";"3891";"4223,0";
"";"";"";"Somogy megye";"3588";"3811,0";
"";"";"";"Tolna megye";"2500";"2653,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"7166";"7541,0";
"";"";"";"Heves megye";"3650";"3851,5";
"";"";"";"Nógrád megye";"2581";"2684,5";
"";"";"";"Hajdú-Bihar megye";"4842";"5153,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"4828";"5136,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"4410";"4627,0";
"";"";"";"Bács-Kiskun megye";"5706";"5992,5";
"";"";"";"Békés megye";"4757";"5053,0";
"";"";"";"Csongrád megye";"4718";"4901,0";
"";"";"75 - 79 éves";"Budapest";"26536";"25779,0";
"";"";"";"Pest megye";"9870";"9488,5";
"";"";"";"Fejér megye";"3699";"3550,5";
"";"";"";"Komárom-Esztergom megye";"2811";"2701,0";
"";"";"";"Veszprém megye";"3899";"3711,0";
"";"";"";"Gyõr-Moson-Sopron megye";"4586";"4452,5";
"";"";"";"Vas megye";"3438";"3283,0";
"";"";"";"Zala megye";"3436";"3327,0";
"";"";"";"Baranya megye";"4009";"3869,5";
"";"";"";"Somogy megye";"3838";"3687,0";
"";"";"";"Tolna megye";"2782";"2680,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"7162";"6879,5";
"";"";"";"Heves megye";"3891";"3772,0";
"";"";"";"Nógrád megye";"2558";"2458,5";
"";"";"";"Hajdú-Bihar megye";"5801";"5510,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"4943";"4732,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"5266";"5013,5";
"";"";"";"Bács-Kiskun megye";"6424";"6143,5";
"";"";"";"Békés megye";"6159";"5858,5";
"";"";"";"Csongrád megye";"5967";"5703,0";
"";"";"80 - 84 éves";"Budapest";"12450";"12793,0";
"";"";"";"Pest megye";"4625";"4741,0";
"";"";"";"Fejér megye";"1766";"1781,5";
"";"";"";"Komárom-Esztergom megye";"1310";"1315,0";
"";"";"";"Veszprém megye";"1916";"1936,5";
"";"";"";"Gyõr-Moson-Sopron megye";"2274";"2303,0";
"";"";"";"Vas megye";"1615";"1634,5";
"";"";"";"Zala megye";"1812";"1816,0";
"";"";"";"Baranya megye";"1960";"1995,5";
"";"";"";"Somogy megye";"2000";"1996,0";
"";"";"";"Tolna megye";"1368";"1370,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"3476";"3519,5";
"";"";"";"Heves megye";"1920";"1946,5";
"";"";"";"Nógrád megye";"1249";"1256,0";
"";"";"";"Hajdú-Bihar megye";"3009";"3067,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"2540";"2556,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"2760";"2825,0";
"";"";"";"Bács-Kiskun megye";"3333";"3341,5";
"";"";"";"Békés megye";"3124";"3179,0";
"";"";"";"Csongrád megye";"3178";"3230,0";
"";"";"85 - X  éves";"Budapest";"5785";"5869,5";
"";"";"";"Pest megye";"1835";"1858,0";
"";"";"";"Fejér megye";"730";"726,5";
"";"";"";"Komárom-Esztergom megye";"507";"506,0";
"";"";"";"Veszprém megye";"816";"827,5";
"";"";"";"Gyõr-Moson-Sopron megye";"914";"926,0";
"";"";"";"Vas megye";"718";"708,5";
"";"";"";"Zala megye";"699";"696,5";
"";"";"";"Baranya megye";"831";"821,0";
"";"";"";"Somogy megye";"774";"771,0";
"";"";"";"Tolna megye";"575";"575,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"1426";"1453,5";
"";"";"";"Heves megye";"859";"835,5";
"";"";"";"Nógrád megye";"495";"494,5";
"";"";"";"Hajdú-Bihar megye";"1322";"1320,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"1158";"1156,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"1179";"1165,5";
"";"";"";"Bács-Kiskun megye";"1479";"1487,0";
"";"";"";"Békés megye";"1494";"1501,5";
"";"";"";"Csongrád megye";"1412";"1411,5";
"";"Nõ";"0 -  4 éves";"Budapest";"46881";"47154,5";
"";"";"";"Pest megye";"28080";"28011,0";
"";"";"";"Fejér megye";"13305";"13331,5";
"";"";"";"Komárom-Esztergom megye";"9520";"9437,5";
"";"";"";"Veszprém megye";"11731";"11581,5";
"";"";"";"Gyõr-Moson-Sopron megye";"12288";"12247,0";
"";"";"";"Vas megye";"7724";"7698,0";
"";"";"";"Zala megye";"8653";"8537,5";
"";"";"";"Baranya megye";"12009";"11991,5";
"";"";"";"Somogy megye";"9790";"9773,0";
"";"";"";"Tolna megye";"7512";"7536,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"25259";"25139,0";
"";"";"";"Heves megye";"9410";"9364,0";
"";"";"";"Nógrád megye";"6674";"6637,5";
"";"";"";"Hajdú-Bihar megye";"18162";"18248,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"20797";"20550,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"13264";"13229,5";
"";"";"";"Bács-Kiskun megye";"16463";"16468,0";
"";"";"";"Békés megye";"11850";"11805,5";
"";"";"";"Csongrád megye";"12052";"12084,5";
"";"";"5 - 9  éves";"Budapest";"51864";"51098,0";
"";"";"";"Pest megye";"29623";"29194,0";
"";"";"";"Fejér megye";"14096";"13894,0";
"";"";"";"Komárom-Esztergom megye";"10205";"10129,0";
"";"";"";"Veszprém megye";"12870";"12693,5";
"";"";"";"Gyõr-Moson-Sopron megye";"13649";"13369,0";
"";"";"";"Vas megye";"8585";"8408,0";
"";"";"";"Zala megye";"9685";"9568,5";
"";"";"";"Baranya megye";"12840";"12671,5";
"";"";"";"Somogy megye";"10509";"10323,0";
"";"";"";"Tolna megye";"8230";"8114,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"25733";"25452,0";
"";"";"";"Heves megye";"10210";"10014,0";
"";"";"";"Nógrád megye";"6945";"6864,5";
"";"";"";"Hajdú-Bihar megye";"18404";"18196,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"21219";"21092,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"13988";"13705,5";
"";"";"";"Bács-Kiskun megye";"17022";"16879,0";
"";"";"";"Békés megye";"12368";"12190,0";
"";"";"";"Csongrád megye";"12749";"12530,5";
"";"";"10 - 14 éves";"Budapest";"72687";"70792,0";
"";"";"";"Pest megye";"39643";"38567,0";
"";"";"";"Fejér megye";"18241";"17879,0";
"";"";"";"Komárom-Esztergom megye";"13179";"12790,0";
"";"";"";"Veszprém megye";"16370";"15960,5";
"";"";"";"Gyõr-Moson-Sopron megye";"18344";"17836,5";
"";"";"";"Vas megye";"11076";"10850,0";
"";"";"";"Zala megye";"12235";"11944,5";
"";"";"";"Baranya megye";"16341";"15929,5";
"";"";"";"Somogy megye";"13664";"13294,0";
"";"";"";"Tolna megye";"10338";"10021,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"31966";"31044,0";
"";"";"";"Heves megye";"13482";"13119,5";
"";"";"";"Nógrád megye";"8757";"8524,5";
"";"";"";"Hajdú-Bihar megye";"23106";"22549,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"25829";"25091,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"17738";"17279,0";
"";"";"";"Bács-Kiskun megye";"21677";"21117,0";
"";"";"";"Békés megye";"16259";"15751,5";
"";"";"";"Csongrád megye";"16972";"16501,0";
"";"";"15 - 19 éves";"Budapest";"70011";"72419,0";
"";"";"";"Pest megye";"34828";"36088,0";
"";"";"";"Fejér megye";"15166";"15634,5";
"";"";"";"Komárom-Esztergom megye";"11227";"11561,5";
"";"";"";"Veszprém megye";"13781";"14274,0";
"";"";"";"Gyõr-Moson-Sopron megye";"15881";"16389,0";
"";"";"";"Vas megye";"9964";"10152,5";
"";"";"";"Zala megye";"10416";"10772,5";
"";"";"";"Baranya megye";"15346";"15810,0";
"";"";"";"Somogy megye";"11929";"12298,5";
"";"";"";"Tolna megye";"8777";"9033,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"27674";"28405,0";
"";"";"";"Heves megye";"11415";"11752,0";
"";"";"";"Nógrád megye";"7464";"7618,0";
"";"";"";"Hajdú-Bihar megye";"21978";"22482,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"23105";"23380,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"14874";"15367,5";
"";"";"";"Bács-Kiskun megye";"19046";"19688,0";
"";"";"";"Békés megye";"13911";"14359,0";
"";"";"";"Csongrád megye";"16659";"17034,0";
"";"";"20 - 24 éves";"Budapest";"68988";"71003,5";
"";"";"";"Pest megye";"30020";"30583,0";
"";"";"";"Fejér megye";"13367";"13661,0";
"";"";"";"Komárom-Esztergom megye";"9939";"10043,0";
"";"";"";"Veszprém megye";"11951";"12027,5";
"";"";"";"Gyõr-Moson-Sopron megye";"12988";"13260,0";
"";"";"";"Vas megye";"8740";"8889,5";
"";"";"";"Zala megye";"8980";"9006,5";
"";"";"";"Baranya megye";"14097";"14281,0";
"";"";"";"Somogy megye";"10208";"10309,5";
"";"";"";"Tolna megye";"7560";"7637,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"23758";"23670,5";
"";"";"";"Heves megye";"9740";"9921,5";
"";"";"";"Nógrád megye";"6757";"6834,5";
"";"";"";"Hajdú-Bihar megye";"19595";"19825,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"18921";"18955,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"12415";"12525,5";
"";"";"";"Bács-Kiskun megye";"16518";"16649,0";
"";"";"";"Békés megye";"11941";"12017,5";
"";"";"";"Csongrád megye";"15309";"15589,0";
"";"";"25 - 29 éves";"Budapest";"56088";"56847,5";
"";"";"";"Pest megye";"27413";"27131,0";
"";"";"";"Fejér megye";"12810";"12670,0";
"";"";"";"Komárom-Esztergom megye";"9813";"9652,0";
"";"";"";"Veszprém megye";"11870";"11705,0";
"";"";"";"Gyõr-Moson-Sopron megye";"12057";"11922,0";
"";"";"";"Vas megye";"8016";"7916,5";
"";"";"";"Zala megye";"9335";"9126,5";
"";"";"";"Baranya megye";"13181";"12997,5";
"";"";"";"Somogy megye";"10232";"10025,0";
"";"";"";"Tolna megye";"7586";"7468,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"23745";"23228,0";
"";"";"";"Heves megye";"9475";"9267,0";
"";"";"";"Nógrád megye";"6837";"6680,0";
"";"";"";"Hajdú-Bihar megye";"17342";"17156,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"18208";"17798,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"12433";"12155,5";
"";"";"";"Bács-Kiskun megye";"16093";"15879,5";
"";"";"";"Békés megye";"11582";"11384,5";
"";"";"";"Csongrád megye";"12503";"12497,0";
"";"";"30 - 34 éves";"Budapest";"68232";"65589,5";
"";"";"";"Pest megye";"34273";"33265,5";
"";"";"";"Fejér megye";"16595";"16104,5";
"";"";"";"Komárom-Esztergom megye";"12101";"11708,5";
"";"";"";"Veszprém megye";"14840";"14416,0";
"";"";"";"Gyõr-Moson-Sopron megye";"16217";"15605,5";
