"Year";"Sex";"Age";"County";"PopJan1";"PopMidYear"
1990;"Férfi";20;"Szabolcs-Szatmár-Bereg megye";19498;19450
1990;"Férfi";20;"Jász-Nagykun-Szolnok megye";13136;13286
1990;"Férfi";20;"Bács-Kiskun megye";17306;17578,5
1990;"Férfi";20;"Békés megye";12540;12695,5
1990;"Férfi";20;"Csongrád megye";14787;15066
1990;"Férfi";25;"Budapest";56168;56636
1990;"Férfi";25;"Pest megye";28483;28412
1990;"Férfi";25;"Fejér megye";13818;13601
1990;"Férfi";25;"Komárom-Esztergom megye";10379;10279,5
1990;"Férfi";25;"Veszprém megye";12665;12505,5
1990;"Férfi";25;"Gyõr-Moson-Sopron megye";12594;12566
1990;"Férfi";25;"Vas megye";8517;8430
1990;"Férfi";25;"Zala megye";9348;9209,5
1990;"Férfi";25;"Baranya megye";13425;13159,5
1990;"Férfi";25;"Somogy megye";10521;10296
1990;"Férfi";25;"Tolna megye";7579;7489
1990;"Férfi";25;"Borsod-Abaúj-Zemplén megye";24190;23795
1990;"Férfi";25;"Heves megye";9623;9526,5
1990;"Férfi";25;"Nógrád megye";6948;6786
1990;"Férfi";25;"Hajdú-Bihar megye";17697;17545,5
1990;"Férfi";25;"Szabolcs-Szatmár-Bereg megye";18497;18183
1990;"Férfi";25;"Jász-Nagykun-Szolnok megye";12465;12266,5
1990;"Férfi";25;"Bács-Kiskun megye";16539;16324
1990;"Férfi";25;"Békés megye";11764;11642
1990;"Férfi";25;"Csongrád megye";12451;12481
1990;"Férfi";30;"Budapest";66119;63694
1990;"Férfi";30;"Pest megye";35000;33951
1990;"Férfi";30;"Fejér megye";17227;16727
1990;"Férfi";30;"Komárom-Esztergom megye";12659;12226,5
1990;"Férfi";30;"Veszprém megye";15623;15113,5
1990;"Férfi";30;"Gyõr-Moson-Sopron megye";16251;15656
1990;"Férfi";30;"Vas megye";10489;10159
1990;"Férfi";30;"Zala megye";12383;11981,5
1990;"Férfi";30;"Baranya megye";17132;16628
1990;"Férfi";30;"Somogy megye";13520;13090,5
1990;"Férfi";30;"Tolna megye";9924;9612
1990;"Férfi";30;"Borsod-Abaúj-Zemplén megye";29216;28421
1990;"Férfi";30;"Heves megye";12214;11855,5
1990;"Férfi";30;"Nógrád megye";8455;8200,5
1990;"Férfi";30;"Hajdú-Bihar megye";21415;20818
1990;"Férfi";30;"Szabolcs-Szatmár-Bereg megye";22921;22339,5
1990;"Férfi";30;"Jász-Nagykun-Szolnok megye";15955;15331,5
1990;"Férfi";30;"Bács-Kiskun megye";21050;20379
1990;"Férfi";30;"Békés megye";15628;14973,5
1990;"Férfi";30;"Csongrád megye";15852;15274,5
1990;"Férfi";35;"Budapest";83954;84072,5
1990;"Férfi";35;"Pest megye";41176;41177
1990;"Férfi";35;"Fejér megye";18359;18654,5
1990;"Férfi";35;"Komárom-Esztergom megye";13316;13448,5
1990;"Férfi";35;"Veszprém megye";16038;16297
1990;"Férfi";35;"Gyõr-Moson-Sopron megye";17674;17883
1990;"Férfi";35;"Vas megye";11669;11772
1990;"Férfi";35;"Zala megye";12503;12697,5
1990;"Férfi";35;"Baranya megye";16615;16935
1990;"Férfi";35;"Somogy megye";14251;14398
1990;"Férfi";35;"Tolna megye";10576;10628
1990;"Férfi";35;"Borsod-Abaúj-Zemplén megye";29195;29523
1990;"Férfi";35;"Heves megye";13034;13207
1990;"Férfi";35;"Nógrád megye";8942;9078,5
