"A továbbszámított népesség száma megyék és a település jogállása szerint"
"Magyaroszág lakónépessége"



" ";"Mutatók";
"Idõszak";"Nem";"Korév";"Terület";"Népesség száma január 1-jén (fõ)";"Évközepi népesség száma (fõ)";
"";"";"";"Baranya megye";"12049";"12040,0";
"";"";"";"Somogy megye";"8910";"8939,0";
"";"";"";"Tolna megye";"6790";"6794,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"22295";"22279,0";
"";"";"";"Heves megye";"8986";"9066,5";
"";"";"";"Nógrád megye";"6017";"6005,0";
"";"";"";"Hajdú-Bihar megye";"18654";"18715,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"19476";"19514,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"12159";"12201,5";
"";"";"";"Bács-Kiskun megye";"16554";"16559,5";
"";"";"";"Békés megye";"10174";"10107,0";
"";"";"";"Csongrád megye";"14057";"14051,5";
"";"";"30 - 34 éves";"Budapest";"64732";"64593,5";
"";"";"";"Pest megye";"37735";"37927,0";
"";"";"";"Fejér megye";"13463";"13511,0";
"";"";"";"Komárom-Esztergom megye";"9656";"9699,5";
"";"";"";"Veszprém megye";"10357";"10287,0";
"";"";"";"Gyõr-Moson-Sopron megye";"15449";"15620,0";
"";"";"";"Vas megye";"7735";"7756,0";
"";"";"";"Zala megye";"7702";"7594,0";
"";"";"";"Baranya megye";"10303";"10281,5";
"";"";"";"Somogy megye";"8669";"8532,5";
"";"";"";"Tolna megye";"6703";"6653,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"20352";"20258,5";
"";"";"";"Heves megye";"8604";"8532,5";
"";"";"";"Nógrád megye";"5731";"5688,0";
"";"";"";"Hajdú-Bihar megye";"17010";"17014,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"18364";"18337,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"11367";"11321,0";
"";"";"";"Bács-Kiskun megye";"15452";"15452,5";
"";"";"";"Békés megye";"9659";"9629,0";
"";"";"";"Csongrád megye";"12211";"12226,5";
"";"";"35 - 39 éves";"Budapest";"76517";"74953,5";
"";"";"";"Pest megye";"50828";"49699,0";
"";"";"";"Fejér megye";"16875";"16425,5";
"";"";"";"Komárom-Esztergom megye";"11830";"11482,0";
"";"";"";"Veszprém megye";"12971";"12630,0";
"";"";"";"Gyõr-Moson-Sopron megye";"19671";"19244,0";
"";"";"";"Vas megye";"10098";"9826,0";
"";"";"";"Zala megye";"10401";"10072,5";
"";"";"";"Baranya megye";"12541";"12217,5";
"";"";"";"Somogy megye";"10825";"10504,0";
"";"";"";"Tolna megye";"7928";"7717,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"22914";"22354,5";
"";"";"";"Heves megye";"10712";"10461,0";
"";"";"";"Nógrád megye";"6805";"6637,5";
"";"";"";"Hajdú-Bihar megye";"19931";"19366,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"20938";"20489,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"13816";"13518,5";
"";"";"";"Bács-Kiskun megye";"18899";"18383,0";
"";"";"";"Békés megye";"11884";"11498,0";
"";"";"";"Csongrád megye";"14803";"14408,5";
"";"";"40 - 44 éves";"Budapest";"76420";"77902,0";
"";"";"";"Pest megye";"58654";"59825,0";
"";"";"";"Fejér megye";"18312";"18684,0";
"";"";"";"Komárom-Esztergom megye";"12777";"13057,0";
"";"";"";"Veszprém megye";"14431";"14652,5";
"";"";"";"Gyõr-Moson-Sopron megye";"20768";"21313,0";
"";"";"";"Vas megye";"11127";"11302,5";
"";"";"";"Zala megye";"11670";"11830,0";
"";"";"";"Baranya megye";"14358";"14426,0";
"";"";"";"Somogy megye";"12315";"12421,5";
"";"";"";"Tolna megye";"8829";"8869,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"24190";"24351,0";
"";"";"";"Heves megye";"11887";"12044,0";
"";"";"";"Nógrád megye";"7617";"7714,0";
"";"";"";"Hajdú-Bihar megye";"21506";"21639,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"23304";"23361,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"14791";"14942,0";
"";"";"";"Bács-Kiskun megye";"20850";"21117,0";
"";"";"";"Békés megye";"14198";"14229,0";
"";"";"";"Csongrád megye";"16415";"16625,5";
"";"";"45 - 49 éves";"Budapest";"61304";"61898,0";
"";"";"";"Pest megye";"49574";"50100,0";
"";"";"";"Fejér megye";"15261";"15397,0";
"";"";"";"Komárom-Esztergom megye";"10871";"10935,0";
"";"";"";"Veszprém megye";"12551";"12595,5";
"";"";"";"Gyõr-Moson-Sopron megye";"17310";"17496,5";
"";"";"";"Vas megye";"9606";"9725,5";
"";"";"";"Zala megye";"10172";"10205,5";
"";"";"";"Baranya megye";"12732";"12738,5";
"";"";"";"Somogy megye";"10965";"10997,0";
"";"";"";"Tolna megye";"7943";"7908,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"22541";"22377,5";
"";"";"";"Heves megye";"10621";"10651,5";
"";"";"";"Nógrád megye";"6972";"6904,0";
"";"";"";"Hajdú-Bihar megye";"19013";"19149,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"20534";"20563,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"13236";"13224,5";
"";"";"";"Bács-Kiskun megye";"18370";"18476,5";
"";"";"";"Békés megye";"12441";"12423,0";
"";"";"";"Csongrád megye";"14326";"14380,5";
"";"";"50 - 54 éves";"Budapest";"44843";"46182,5";
"";"";"";"Pest megye";"36177";"37630,5";
"";"";"";"Fejér megye";"12433";"12694,0";
"";"";"";"Komárom-Esztergom megye";"8994";"9147,0";
"";"";"";"Veszprém megye";"10926";"11049,0";
"";"";"";"Gyõr-Moson-Sopron megye";"13164";"13560,5";
"";"";"";"Vas megye";"8178";"8225,0";
"";"";"";"Zala megye";"8623";"8781,5";
"";"";"";"Baranya megye";"11284";"11373,5";
"";"";"";"Somogy megye";"9634";"9753,5";
"";"";"";"Tolna megye";"7061";"7150,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"20312";"20520,5";
"";"";"";"Heves megye";"8823";"8977,0";
"";"";"";"Nógrád megye";"6207";"6263,0";
"";"";"";"Hajdú-Bihar megye";"15941";"16199,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"17346";"17643,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"11174";"11404,0";
"";"";"";"Bács-Kiskun megye";"15664";"15779,0";
"";"";"";"Békés megye";"10731";"10930,5";
"";"";"";"Csongrád megye";"11780";"11998,0";
"";"";"55 - 59 éves";"Budapest";"41605";"40974,0";
"";"";"";"Pest megye";"33068";"32849,5";
"";"";"";"Fejér megye";"13111";"12853,5";
"";"";"";"Komárom-Esztergom megye";"9130";"8970,5";
"";"";"";"Veszprém megye";"11397";"11191,5";
"";"";"";"Gyõr-Moson-Sopron megye";"13418";"13202,0";
"";"";"";"Vas megye";"8105";"8030,5";
"";"";"";"Zala megye";"9698";"9444,0";
"";"";"";"Baranya megye";"12546";"12260,0";
"";"";"";"Somogy megye";"10426";"10145,0";
"";"";"";"Tolna megye";"7486";"7253,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"20885";"20500,5";
"";"";"";"Heves megye";"9401";"9226,0";
"";"";"";"Nógrád megye";"6608";"6536,5";
"";"";"";"Hajdú-Bihar megye";"16440";"16119,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"17926";"17626,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"11757";"11488,0";
"";"";"";"Bács-Kiskun megye";"16217";"15935,0";
"";"";"";"Békés megye";"11250";"10904,5";
"";"";"";"Csongrád megye";"11700";"11466,5";
"";"";"60 - 64 éves";"Budapest";"53164";"52001,0";
"";"";"";"Pest megye";"38760";"38387,0";
"";"";"";"Fejér megye";"14778";"14712,0";
"";"";"";"Komárom-Esztergom megye";"10039";"9998,5";
"";"";"";"Veszprém megye";"12544";"12562,0";
"";"";"";"Gyõr-Moson-Sopron megye";"14951";"14921,0";
"";"";"";"Vas megye";"9422";"9316,0";
"";"";"";"Zala megye";"10708";"10685,5";
"";"";"";"Baranya megye";"13156";"13219,0";
"";"";"";"Somogy megye";"11877";"11836,0";
"";"";"";"Tolna megye";"8508";"8535,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"21662";"21667,5";
"";"";"";"Heves megye";"10394";"10360,0";
"";"";"";"Nógrád megye";"7065";"7010,5";
"";"";"";"Hajdú-Bihar megye";"17394";"17421,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"18157";"18185,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"13570";"13495,0";
"";"";"";"Bács-Kiskun megye";"17529";"17561,0";
"";"";"";"Békés megye";"13338";"13313,0";
"";"";"";"Csongrád megye";"13762";"13702,5";
"";"";"65 - 69 éves";"Budapest";"42286";"42228,0";
"";"";"";"Pest megye";"31161";"31226,0";
"";"";"";"Fejér megye";"11255";"11343,5";
"";"";"";"Komárom-Esztergom megye";"7529";"7547,0";
"";"";"";"Veszprém megye";"9536";"9575,0";
"";"";"";"Gyõr-Moson-Sopron megye";"11829";"11815,5";
"";"";"";"Vas megye";"7400";"7462,5";
"";"";"";"Zala megye";"8376";"8443,0";
"";"";"";"Baranya megye";"9804";"9851,0";
"";"";"";"Somogy megye";"9337";"9373,0";
"";"";"";"Tolna megye";"6490";"6499,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"15889";"16017,0";
"";"";"";"Heves megye";"8184";"8207,0";
"";"";"";"Nógrád megye";"5367";"5410,5";
"";"";"";"Hajdú-Bihar megye";"13185";"13334,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"13555";"13729,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"10277";"10326,5";
"";"";"";"Bács-Kiskun megye";"13843";"13843,0";
"";"";"";"Békés megye";"10255";"10258,0";
"";"";"";"Csongrád megye";"10853";"10828,5";
"";"";"70 - 74 éves";"Budapest";"36036";"36012,0";
"";"";"";"Pest megye";"22543";"22874,0";
"";"";"";"Fejér megye";"7446";"7561,0";
"";"";"";"Komárom-Esztergom megye";"5423";"5486,0";
"";"";"";"Veszprém megye";"6907";"6952,0";
"";"";"";"Gyõr-Moson-Sopron megye";"8420";"8583,0";
"";"";"";"Vas megye";"4949";"5001,5";
"";"";"";"Zala megye";"5635";"5682,0";
"";"";"";"Baranya megye";"6871";"6903,0";
"";"";"";"Somogy megye";"6245";"6259,5";
"";"";"";"Tolna megye";"4253";"4303,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"10710";"10719,5";
"";"";"";"Heves megye";"5741";"5791,0";
"";"";"";"Nógrád megye";"3736";"3738,0";
"";"";"";"Hajdú-Bihar megye";"8966";"9030,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"7733";"8015,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"6959";"7040,0";
"";"";"";"Bács-Kiskun megye";"9971";"10044,5";
"";"";"";"Békés megye";"6956";"7036,0";
"";"";"";"Csongrád megye";"8021";"8129,0";
"";"";"75 - 79 éves";"Budapest";"23665";"24400,5";
"";"";"";"Pest megye";"13911";"14430,0";
"";"";"";"Fejér megye";"4960";"5059,0";
"";"";"";"Komárom-Esztergom megye";"3840";"3892,0";
"";"";"";"Veszprém megye";"4868";"4951,0";
"";"";"";"Gyõr-Moson-Sopron megye";"5535";"5692,5";
"";"";"";"Vas megye";"3323";"3395,5";
"";"";"";"Zala megye";"3817";"3917,5";
"";"";"";"Baranya megye";"5145";"5186,0";
"";"";"";"Somogy megye";"4166";"4224,5";
"";"";"";"Tolna megye";"2927";"2995,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"7786";"7858,5";
"";"";"";"Heves megye";"3839";"3937,0";
"";"";"";"Nógrád megye";"2703";"2743,5";
"";"";"";"Hajdú-Bihar megye";"6357";"6423,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"5163";"5197,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"5075";"5119,0";
"";"";"";"Bács-Kiskun megye";"6419";"6548,0";
"";"";"";"Békés megye";"4887";"4954,0";
"";"";"";"Csongrád megye";"5582";"5688,0";
"";"";"80 - 84 éves";"Budapest";"14557";"14545,5";
"";"";"";"Pest megye";"7654";"7688,5";
"";"";"";"Fejér megye";"3020";"3020,5";
"";"";"";"Komárom-Esztergom megye";"2124";"2143,5";
"";"";"";"Veszprém megye";"2784";"2773,5";
"";"";"";"Gyõr-Moson-Sopron megye";"3121";"3126,5";
"";"";"";"Vas megye";"1799";"1802,0";
"";"";"";"Zala megye";"2279";"2227,0";
"";"";"";"Baranya megye";"3069";"3098,0";
"";"";"";"Somogy megye";"2235";"2224,0";
"";"";"";"Tolna megye";"1847";"1818,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"4697";"4669,5";
"";"";"";"Heves megye";"2565";"2509,0";
"";"";"";"Nógrád megye";"1566";"1544,5";
"";"";"";"Hajdú-Bihar megye";"3893";"3895,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"3154";"3106,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"3149";"3129,0";
"";"";"";"Bács-Kiskun megye";"3938";"3943,0";
"";"";"";"Békés megye";"3176";"3112,5";
"";"";"";"Csongrád megye";"3279";"3276,5";
"";"";"85 - X  éves";"Budapest";"12204";"12279,0";
"";"";"";"Pest megye";"4922";"5006,0";
"";"";"";"Fejér megye";"1918";"1960,5";
"";"";"";"Komárom-Esztergom megye";"1281";"1270,5";
"";"";"";"Veszprém megye";"1832";"1848,5";
"";"";"";"Gyõr-Moson-Sopron megye";"2159";"2160,5";
"";"";"";"Vas megye";"1326";"1341,5";
"";"";"";"Zala megye";"1540";"1551,0";
"";"";"";"Baranya megye";"1955";"2002,5";
"";"";"";"Somogy megye";"1630";"1648,0";
"";"";"";"Tolna megye";"1131";"1140,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"2758";"2790,0";
"";"";"";"Heves megye";"1523";"1567,5";
"";"";"";"Nógrád megye";"905";"915,5";
"";"";"";"Hajdú-Bihar megye";"2622";"2669,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"1996";"2029,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"2128";"2151,0";
"";"";"";"Bács-Kiskun megye";"2742";"2753,0";
"";"";"";"Békés megye";"2153";"2180,0";
"";"";"";"Csongrád megye";"2346";"2366,0";
"";"Nõ";"0 -  4 éves";"Budapest";"40704";"40140,5";
"";"";"";"Pest megye";"31775";"32207,5";
"";"";"";"Fejér megye";"9441";"9561,5";
"";"";"";"Komárom-Esztergom megye";"7003";"7047,0";
"";"";"";"Veszprém megye";"7416";"7457,0";
"";"";"";"Gyõr-Moson-Sopron megye";"10729";"10850,5";
