"A továbbszámított népesség száma megyék és a település jogállása szerint"
"Magyaroszág lakónépessége"



" ";"Mutatók";
"Idõszak";"Nem";"Korév";"Terület";"Népesség száma január 1-jén (fõ)";"Évközepi népesség száma (fõ)";
"";"";"30 - 34 éves";"Budapest";"66824";"66521,0";
"";"";"";"Pest megye";"37955";"38061,0";
"";"";"";"Fejér megye";"12189";"12082,0";
"";"";"";"Komárom-Esztergom megye";"9206";"9152,0";
"";"";"";"Veszprém megye";"9501";"9397,5";
"";"";"";"Gyõr-Moson-Sopron megye";"14734";"14729,5";
"";"";"";"Vas megye";"7286";"7272,5";
"";"";"";"Zala megye";"7256";"7131,0";
"";"";"";"Baranya megye";"9877";"9832,5";
"";"";"";"Somogy megye";"8248";"8111,5";
"";"";"";"Tolna megye";"6144";"6082,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"18553";"18465,0";
"";"";"";"Heves megye";"8175";"8090,5";
"";"";"";"Nógrád megye";"5229";"5166,5";
"";"";"";"Hajdú-Bihar megye";"15959";"15874,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"16870";"16792,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"10235";"10175,0";
"";"";"";"Bács-Kiskun megye";"14293";"14270,0";
"";"";"";"Békés megye";"9032";"8951,5";
"";"";"";"Csongrád megye";"11489";"11487,0";
"";"";"35 - 39 éves";"Budapest";"78962";"76898,5";
"";"";"";"Pest megye";"51349";"50216,0";
"";"";"";"Fejér megye";"16173";"15799,0";
"";"";"";"Komárom-Esztergom megye";"11293";"11000,0";
"";"";"";"Veszprém megye";"12710";"12332,0";
"";"";"";"Gyõr-Moson-Sopron megye";"19018";"18549,5";
"";"";"";"Vas megye";"9827";"9581,0";
"";"";"";"Zala megye";"9853";"9553,0";
"";"";"";"Baranya megye";"12753";"12319,5";
"";"";"";"Somogy megye";"10605";"10302,0";
"";"";"";"Tolna megye";"7453";"7243,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"21314";"20810,0";
"";"";"";"Heves megye";"10473";"10154,5";
"";"";"";"Nógrád megye";"6198";"6009,5";
"";"";"";"Hajdú-Bihar megye";"19080";"18567,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"20068";"19485,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"12956";"12616,0";
"";"";"";"Bács-Kiskun megye";"17947";"17455,5";
"";"";"";"Békés megye";"11455";"11074,0";
"";"";"";"Csongrád megye";"14465";"14063,5";
"";"";"40 - 44 éves";"Budapest";"78235";"79563,0";
"";"";"";"Pest megye";"57628";"58862,0";
"";"";"";"Fejér megye";"17388";"17713,5";
"";"";"";"Komárom-Esztergom megye";"12390";"12657,5";
"";"";"";"Veszprém megye";"13834";"13978,0";
"";"";"";"Gyõr-Moson-Sopron megye";"19463";"19973,5";
"";"";"";"Vas megye";"10469";"10607,0";
"";"";"";"Zala megye";"10911";"11025,5";
"";"";"";"Baranya megye";"14263";"14383,0";
"";"";"";"Somogy megye";"12034";"12159,5";
"";"";"";"Tolna megye";"8564";"8626,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"23756";"23785,0";
"";"";"";"Heves megye";"11573";"11752,0";
"";"";"";"Nógrád megye";"7144";"7154,5";
"";"";"";"Hajdú-Bihar megye";"20779";"20938,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"22392";"22480,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"14185";"14337,5";
"";"";"";"Bács-Kiskun megye";"20325";"20519,0";
"";"";"";"Békés megye";"13481";"13563,5";
"";"";"";"Csongrád megye";"16075";"16190,0";
"";"";"45 - 49 éves";"Budapest";"63884";"64108,0";
"";"";"";"Pest megye";"48211";"48814,5";
"";"";"";"Fejér megye";"14846";"14976,5";
"";"";"";"Komárom-Esztergom megye";"10622";"10582,5";
"";"";"";"Veszprém megye";"12109";"12242,0";
"";"";"";"Gyõr-Moson-Sopron megye";"16365";"16576,5";
"";"";"";"Vas megye";"9461";"9517,0";
"";"";"";"Zala megye";"9988";"10021,0";
"";"";"";"Baranya megye";"13032";"13013,5";
"";"";"";"Somogy megye";"10890";"10909,0";
"";"";"";"Tolna megye";"8061";"8019,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"22907";"22736,5";
"";"";"";"Heves megye";"10439";"10492,0";
"";"";"";"Nógrád megye";"6798";"6719,0";
"";"";"";"Hajdú-Bihar megye";"19015";"18920,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"20019";"20084,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"12996";"12935,5";
"";"";"";"Bács-Kiskun megye";"18111";"18101,5";
"";"";"";"Békés megye";"12320";"12261,5";
"";"";"";"Csongrád megye";"14422";"14453,0";
"";"";"50 - 54 éves";"Budapest";"49188";"50632,5";
"";"";"";"Pest megye";"36214";"37504,5";
"";"";"";"Fejér megye";"12467";"12678,5";
"";"";"";"Komárom-Esztergom megye";"9376";"9533,0";
"";"";"";"Veszprém megye";"10957";"11083,0";
"";"";"";"Gyõr-Moson-Sopron megye";"13388";"13652,5";
"";"";"";"Vas megye";"8033";"8178,0";
"";"";"";"Zala megye";"9181";"9250,0";
"";"";"";"Baranya megye";"11983";"12116,5";
"";"";"";"Somogy megye";"9984";"10036,5";
"";"";"";"Tolna megye";"7191";"7282,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"21240";"21327,0";
"";"";"";"Heves megye";"9096";"9156,0";
"";"";"";"Nógrád megye";"6284";"6391,5";
"";"";"";"Hajdú-Bihar megye";"16510";"16719,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"17605";"17760,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"11678";"11785,5";
"";"";"";"Bács-Kiskun megye";"16035";"16232,0";
"";"";"";"Békés megye";"10956";"11064,5";
"";"";"";"Csongrád megye";"12482";"12616,0";
"";"";"55 - 59 éves";"Budapest";"49960";"48963,5";
"";"";"";"Pest megye";"36918";"36295,5";
"";"";"";"Fejér megye";"14316";"13962,5";
"";"";"";"Komárom-Esztergom megye";"10147";"9998,0";
"";"";"";"Veszprém megye";"12378";"12083,5";
"";"";"";"Gyõr-Moson-Sopron megye";"14575";"14254,5";
"";"";"";"Vas megye";"8968";"8846,5";
"";"";"";"Zala megye";"10767";"10507,0";
"";"";"";"Baranya megye";"13807";"13413,5";
"";"";"";"Somogy megye";"11396";"11166,0";
"";"";"";"Tolna megye";"8381";"8131,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"23529";"23122,0";
"";"";"";"Heves megye";"10652";"10394,0";
"";"";"";"Nógrád megye";"7178";"7017,0";
"";"";"";"Hajdú-Bihar megye";"18426";"18069,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"19755";"19285,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"12931";"12627,5";
"";"";"";"Bács-Kiskun megye";"17922";"17566,0";
"";"";"";"Békés megye";"12466";"12102,0";
"";"";"";"Csongrád megye";"13420";"13194,5";
"";"";"60 - 64 éves";"Budapest";"70734";"69112,5";
"";"";"";"Pest megye";"45785";"45363,0";
"";"";"";"Fejér megye";"17267";"17286,5";
"";"";"";"Komárom-Esztergom megye";"12309";"12258,5";
"";"";"";"Veszprém megye";"14709";"14663,0";
"";"";"";"Gyõr-Moson-Sopron megye";"17755";"17656,5";
"";"";"";"Vas megye";"10847";"10787,0";
"";"";"";"Zala megye";"12740";"12679,5";
"";"";"";"Baranya megye";"15808";"15852,0";
"";"";"";"Somogy megye";"13932";"13840,5";
"";"";"";"Tolna megye";"9871";"9880,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"26421";"26347,0";
"";"";"";"Heves megye";"12916";"12817,5";
"";"";"";"Nógrád megye";"8390";"8367,0";
"";"";"";"Hajdú-Bihar megye";"20655";"20690,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"21434";"21503,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"15732";"15667,5";
"";"";"";"Bács-Kiskun megye";"21051";"21042,5";
"";"";"";"Békés megye";"15162";"15098,5";
"";"";"";"Csongrád megye";"17078";"16835,5";
"";"";"65 - 69 éves";"Budapest";"62581";"62151,0";
"";"";"";"Pest megye";"40513";"40747,0";
"";"";"";"Fejér megye";"14330";"14360,0";
"";"";"";"Komárom-Esztergom megye";"10250";"10305,5";
"";"";"";"Veszprém megye";"12021";"12141,5";
"";"";"";"Gyõr-Moson-Sopron megye";"14906";"15092,5";
"";"";"";"Vas megye";"9177";"9238,5";
"";"";"";"Zala megye";"10438";"10609,5";
"";"";"";"Baranya megye";"13198";"13210,5";
"";"";"";"Somogy megye";"11976";"12103,0";
"";"";"";"Tolna megye";"8262";"8261,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"21909";"22100,0";
"";"";"";"Heves megye";"10971";"11076,5";
"";"";"";"Nógrád megye";"7035";"7083,5";
"";"";"";"Hajdú-Bihar megye";"17523";"17638,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"17838";"18126,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"12849";"12976,5";
"";"";"";"Bács-Kiskun megye";"17902";"17897,5";
"";"";"";"Békés megye";"13100";"13086,0";
"";"";"";"Csongrád megye";"14678";"14701,5";
"";"";"70 - 74 éves";"Budapest";"55711";"55986,5";
"";"";"";"Pest megye";"31876";"32290,5";
"";"";"";"Fejér megye";"10659";"10796,0";
"";"";"";"Komárom-Esztergom megye";"7953";"7951,5";
"";"";"";"Veszprém megye";"9490";"9503,0";
"";"";"";"Gyõr-Moson-Sopron megye";"11721";"11829,0";
"";"";"";"Vas megye";"7038";"7069,5";
"";"";"";"Zala megye";"8018";"8003,5";
"";"";"";"Baranya megye";"10340";"10304,0";
"";"";"";"Somogy megye";"8939";"8877,5";
"";"";"";"Tolna megye";"6206";"6254,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"17636";"17500,0";
"";"";"";"Heves megye";"9025";"9034,0";
"";"";"";"Nógrád megye";"5973";"5928,5";
"";"";"";"Hajdú-Bihar megye";"13359";"13438,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"12191";"12414,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"10343";"10295,0";
"";"";"";"Bács-Kiskun megye";"14782";"14920,5";
"";"";"";"Békés megye";"10069";"10164,5";
"";"";"";"Csongrád megye";"12323";"12401,0";
"";"";"75 - 79 éves";"Budapest";"40898";"41962,0";
"";"";"";"Pest megye";"23995";"24502,0";
"";"";"";"Fejér megye";"9228";"9309,0";
"";"";"";"Komárom-Esztergom megye";"6960";"7042,5";
"";"";"";"Veszprém megye";"8293";"8347,5";
"";"";"";"Gyõr-Moson-Sopron megye";"9407";"9532,5";
"";"";"";"Vas megye";"5819";"5898,0";
"";"";"";"Zala megye";"6892";"6954,0";
"";"";"";"Baranya megye";"9125";"9235,5";
"";"";"";"Somogy megye";"7553";"7616,5";
"";"";"";"Tolna megye";"5462";"5480,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"15558";"15568,5";
"";"";"";"Heves megye";"7601";"7663,5";
"";"";"";"Nógrád megye";"4966";"5038,0";
"";"";"";"Hajdú-Bihar megye";"11454";"11488,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"10515";"10435,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"9213";"9284,0";
"";"";"";"Bács-Kiskun megye";"12372";"12406,0";
"";"";"";"Békés megye";"8965";"8996,5";
"";"";"";"Csongrád megye";"9656";"9770,0";
"";"";"80 - 84 éves";"Budapest";"29620";"29520,0";
"";"";"";"Pest megye";"16520";"16571,0";
"";"";"";"Fejér megye";"6848";"6835,5";
"";"";"";"Komárom-Esztergom megye";"4692";"4743,5";
"";"";"";"Veszprém megye";"5770";"5807,5";
"";"";"";"Gyõr-Moson-Sopron megye";"6772";"6796,5";
"";"";"";"Vas megye";"4071";"4074,5";
"";"";"";"Zala megye";"5207";"5153,0";
"";"";"";"Baranya megye";"6554";"6583,5";
"";"";"";"Somogy megye";"5504";"5473,5";
"";"";"";"Tolna megye";"4018";"3965,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"11158";"11130,0";
"";"";"";"Heves megye";"5751";"5652,5";
"";"";"";"Nógrád megye";"3631";"3647,5";
"";"";"";"Hajdú-Bihar megye";"8336";"8367,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"7842";"7787,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"6682";"6667,0";
"";"";"";"Bács-Kiskun megye";"8928";"8945,0";
"";"";"";"Békés megye";"6499";"6456,0";
"";"";"";"Csongrád megye";"6811";"6879,0";
"";"";"85 - X  éves";"Budapest";"30520";"30577,5";
"";"";"";"Pest megye";"14341";"14498,0";
"";"";"";"Fejér megye";"5237";"5328,5";
"";"";"";"Komárom-Esztergom megye";"3666";"3695,5";
"";"";"";"Veszprém megye";"4779";"4822,5";
"";"";"";"Gyõr-Moson-Sopron megye";"5707";"5735,0";
"";"";"";"Vas megye";"3637";"3661,0";
"";"";"";"Zala megye";"4286";"4369,0";
"";"";"";"Baranya megye";"5403";"5448,0";
"";"";"";"Somogy megye";"4483";"4535,0";
"";"";"";"Tolna megye";"3461";"3490,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"8405";"8507,0";
"";"";"";"Heves megye";"4590";"4677,5";
"";"";"";"Nógrád megye";"2789";"2778,5";
"";"";"";"Hajdú-Bihar megye";"6949";"7074,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"6210";"6272,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"5498";"5568,0";
"";"";"";"Bács-Kiskun megye";"7497";"7551,0";
"";"";"";"Békés megye";"5559";"5598,5";
"";"";"";"Csongrád megye";"6077";"6083,0";
"2018. év";"Férfi";"0 -  4 éves";"Budapest";"42032";"41657,5";
"";"";"";"Pest megye";"34727";"35218,5";
"";"";"";"Fejér megye";"9968";"10009,0";
"";"";"";"Komárom-Esztergom megye";"7445";"7507,5";
"";"";"";"Veszprém megye";"7740";"7729,0";
"";"";"";"Gyõr-Moson-Sopron megye";"11493";"11658,5";
"";"";"";"Vas megye";"5496";"5553,0";
"";"";"";"Zala megye";"5638";"5643,0";
"";"";"";"Baranya megye";"8113";"8105,0";
"";"";"";"Somogy megye";"6703";"6744,0";
"";"";"";"Tolna megye";"4931";"4944,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"17570";"17636,5";
"";"";"";"Heves megye";"7065";"7116,0";
"";"";"";"Nógrád megye";"4356";"4342,5";
"";"";"";"Hajdú-Bihar megye";"13616";"13735,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"14992";"14934,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"9127";"9174,0";
"";"";"";"Bács-Kiskun megye";"12180";"12284,5";
"";"";"";"Békés megye";"6799";"6813,5";
"";"";"";"Csongrád megye";"8917";"8916,5";
"";"";"5 - 9  éves";"Budapest";"41947";"41554,0";
"";"";"";"Pest megye";"37070";"37028,0";
"";"";"";"Fejér megye";"10338";"10224,0";
"";"";"";"Komárom-Esztergom megye";"7371";"7321,5";
"";"";"";"Veszprém megye";"8045";"7953,5";
"";"";"";"Gyõr-Moson-Sopron megye";"11694";"11660,5";
"";"";"";"Vas megye";"5576";"5522,5";
"";"";"";"Zala megye";"5879";"5795,5";
"";"";"";"Baranya megye";"8646";"8517,5";
"";"";"";"Somogy megye";"6629";"6555,0";
"";"";"";"Tolna megye";"5113";"5036,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"16690";"16467,0";
"";"";"";"Heves megye";"7007";"6903,0";
"";"";"";"Nógrád megye";"4283";"4236,5";
"";"";"";"Hajdú-Bihar megye";"12862";"12699,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"14414";"14201,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"8956";"8853,5";
"";"";"";"Bács-Kiskun megye";"11932";"11849,5";
"";"";"";"Békés megye";"7085";"6958,0";
"";"";"";"Csongrád megye";"8899";"8824,5";
"";"";"10 - 14 éves";"Budapest";"37700";"38279,0";
"";"";"";"Pest megye";"37100";"37584,0";
"";"";"";"Fejér megye";"10718";"10825,0";
"";"";"";"Komárom-Esztergom megye";"7599";"7649,5";
"";"";"";"Veszprém megye";"8515";"8594,0";
"";"";"";"Gyõr-Moson-Sopron megye";"11855";"12089,5";
"";"";"";"Vas megye";"6176";"6161,0";
"";"";"";"Zala megye";"6312";"6366,0";
"";"";"";"Baranya megye";"9147";"9169,5";
"";"";"";"Somogy megye";"7655";"7612,5";
"";"";"";"Tolna megye";"5459";"5478,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"18174";"18155,0";
"";"";"";"Heves megye";"7661";"7689,0";
"";"";"";"Nógrád megye";"5011";"4943,5";
"";"";"";"Hajdú-Bihar megye";"14244";"14242,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"16243";"16247,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"9910";"9940,5";
"";"";"";"Bács-Kiskun megye";"13014";"13042,0";
"";"";"";"Békés megye";"8395";"8318,5";
"";"";"";"Csongrád megye";"9759";"9702,5";
"";"";"15 - 19 éves";"Budapest";"34794";"35048,5";
"";"";"";"Pest megye";"34501";"34831,0";
"";"";"";"Fejér megye";"10698";"10673,5";
"";"";"";"Komárom-Esztergom megye";"7626";"7627,0";
"";"";"";"Veszprém megye";"8354";"8335,5";
"";"";"";"Gyõr-Moson-Sopron megye";"11743";"11772,5";
"";"";"";"Vas megye";"6285";"6294,5";
"";"";"";"Zala megye";"6349";"6302,0";
"";"";"";"Baranya megye";"9344";"9362,5";
"";"";"";"Somogy megye";"7854";"7766,0";
"";"";"";"Tolna megye";"5747";"5696,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"19391";"19147,0";
"";"";"";"Heves megye";"8275";"8196,0";
"";"";"";"Nógrád megye";"5137";"5140,5";
"";"";"";"Hajdú-Bihar megye";"15446";"15354,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"17175";"16903,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"10042";"9992,5";
"";"";"";"Bács-Kiskun megye";"13364";"13315,0";
"";"";"";"Békés megye";"9160";"9102,5";
"";"";"";"Csongrád megye";"10227";"10169,5";
"";"";"20 - 24 éves";"Budapest";"47549";"47285,5";
"";"";"";"Pest megye";"37170";"36679,0";
"";"";"";"Fejér megye";"12307";"12066,5";
"";"";"";"Komárom-Esztergom megye";"8937";"8943,0";
"";"";"";"Veszprém megye";"10595";"10453,0";
"";"";"";"Gyõr-Moson-Sopron megye";"13650";"13517,0";
"";"";"";"Vas megye";"7345";"7253,0";
"";"";"";"Zala megye";"7335";"7248,5";
"";"";"";"Baranya megye";"11687";"11388,5";
"";"";"";"Somogy megye";"9210";"8998,5";
"";"";"";"Tolna megye";"6567";"6402,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"22035";"21808,5";
"";"";"";"Heves megye";"8890";"8820,5";
"";"";"";"Nógrád megye";"5881";"5803,5";
"";"";"";"Hajdú-Bihar megye";"17999";"17821,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"20231";"19810,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"11714";"11510,0";
"";"";"";"Bács-Kiskun megye";"15349";"15048,5";
"";"";"";"Békés megye";"10392";"10046,0";
"";"";"";"Csongrád megye";"12873";"12725,0";
"";"";"25 - 29 éves";"Budapest";"61665";"62187,0";
"";"";"";"Pest megye";"38593";"38977,5";
"";"";"";"Fejér megye";"14172";"14245,5";
"";"";"";"Komárom-Esztergom megye";"9985";"10062,5";
"";"";"";"Veszprém megye";"10681";"10797,5";
"";"";"";"Gyõr-Moson-Sopron megye";"16116";"16308,0";
"";"";"";"Vas megye";"7885";"7860,0";
"";"";"";"Zala megye";"7674";"7570,0";
"";"";"";"Baranya megye";"12031";"11968,5";
"";"";"";"Somogy megye";"8968";"9012,5";
"";"";"";"Tolna megye";"6799";"6799,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"22263";"22054,5";
"";"";"";"Heves megye";"9147";"9223,0";
"";"";"";"Nógrád megye";"5993";"6014,5";
"";"";"";"Hajdú-Bihar megye";"18777";"18644,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"19552";"19503,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"12244";"12309,5";
"";"";"";"Bács-Kiskun megye";"16565";"16579,5";
"";"";"";"Békés megye";"10040";"10153,5";
"";"";"";"Csongrád megye";"14046";"14051,0";
"";"";"30 - 34 éves";"Budapest";"64455";"65004,0";
"";"";"";"Pest megye";"38119";"38767,5";
"";"";"";"Fejér megye";"13559";"13669,5";
"";"";"";"Komárom-Esztergom megye";"9743";"9874,5";
"";"";"";"Veszprém megye";"10217";"10189,5";
"";"";"";"Gyõr-Moson-Sopron megye";"15791";"16035,0";
"";"";"";"Vas megye";"7777";"7848,5";
"";"";"";"Zala megye";"7486";"7519,5";
"";"";"";"Baranya megye";"10260";"10297,5";
"";"";"";"Somogy megye";"8396";"8416,0";
"";"";"";"Tolna megye";"6604";"6569,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"20165";"20249,5";
"";"";"";"Heves megye";"8461";"8529,0";
"";"";"";"Nógrád megye";"5645";"5646,0";
"";"";"";"Hajdú-Bihar megye";"17019";"17045,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"18311";"18321,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"11275";"11410,5";
"";"";"";"Bács-Kiskun megye";"15453";"15482,5";
"";"";"";"Békés megye";"9599";"9529,0";
"";"";"";"Csongrád megye";"12242";"12399,0";
"";"";"35 - 39 éves";"Budapest";"73390";"72056,5";
"";"";"";"Pest megye";"48570";"47566,0";
"";"";"";"Fejér megye";"15976";"15647,0";
"";"";"";"Komárom-Esztergom megye";"11134";"10946,0";
"";"";"";"Veszprém megye";"12289";"11973,0";
"";"";"";"Gyõr-Moson-Sopron megye";"18817";"18548,0";
"";"";"";"Vas megye";"9554";"9296,5";
"";"";"";"Zala megye";"9744";"9409,5";
"";"";"";"Baranya megye";"11894";"11474,5";
"";"";"";"Somogy megye";"10183";"9885,0";
"";"";"";"Tolna megye";"7506";"7303,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"21795";"21340,5";
"";"";"";"Heves megye";"10210";"9939,0";
"";"";"";"Nógrád megye";"6470";"6293,0";
"";"";"";"Hajdú-Bihar megye";"18802";"18363,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"20040";"19499,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"13221";"12873,5";
"";"";"";"Bács-Kiskun megye";"17867";"17434,5";
"";"";"";"Békés megye";"11112";"10766,0";
"";"";"";"Csongrád megye";"14014";"13583,0";
"";"";"40 - 44 éves";"Budapest";"79384";"80555,0";
"";"";"";"Pest megye";"60996";"61986,5";
"";"";"";"Fejér megye";"19056";"19343,0";
"";"";"";"Komárom-Esztergom megye";"13337";"13535,5";
"";"";"";"Veszprém megye";"14874";"14954,0";
"";"";"";"Gyõr-Moson-Sopron megye";"21858";"22287,5";
"";"";"";"Vas megye";"11478";"11569,5";
"";"";"";"Zala megye";"11990";"12019,0";
"";"";"";"Baranya megye";"14494";"14538,0";
"";"";"";"Somogy megye";"12528";"12573,0";
"";"";"";"Tolna megye";"8910";"8945,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"24512";"24521,0";
"";"";"";"Heves megye";"12201";"12323,5";
"";"";"";"Nógrád megye";"7811";"7866,5";
"";"";"";"Hajdú-Bihar megye";"21772";"21835,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"23418";"23297,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"15093";"15228,0";
"";"";"";"Bács-Kiskun megye";"21384";"21494,0";
"";"";"";"Békés megye";"14260";"14239,5";
"";"";"";"Csongrád megye";"16836";"16945,5";
"";"";"45 - 49 éves";"Budapest";"62492";"62877,0";
"";"";"";"Pest megye";"50626";"51150,0";
"";"";"";"Fejér megye";"15533";"15651,5";
"";"";"";"Komárom-Esztergom megye";"10999";"11050,0";
"";"";"";"Veszprém megye";"12640";"12706,5";
"";"";"";"Gyõr-Moson-Sopron megye";"17683";"17845,5";
"";"";"";"Vas megye";"9845";"9940,5";
"";"";"";"Zala megye";"10239";"10337,5";
"";"";"";"Baranya megye";"12745";"12723,5";
"";"";"";"Somogy megye";"11029";"11046,0";
"";"";"";"Tolna megye";"7873";"7821,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"22214";"22099,5";
"";"";"";"Heves megye";"10682";"10651,0";
"";"";"";"Nógrád megye";"6836";"6793,0";
"";"";"";"Hajdú-Bihar megye";"19286";"19273,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"20592";"20625,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"13213";"13230,5";
"";"";"";"Bács-Kiskun megye";"18583";"18675,5";
"";"";"";"Békés megye";"12405";"12373,5";
"";"";"";"Csongrád megye";"14435";"14425,5";
"";"";"50 - 54 éves";"Budapest";"47522";"49131,5";
"";"";"";"Pest megye";"39084";"40625,0";
"";"";"";"Fejér megye";"12955";"13271,0";
"";"";"";"Komárom-Esztergom megye";"9300";"9526,0";
"";"";"";"Veszprém megye";"11172";"11387,5";
"";"";"";"Gyõr-Moson-Sopron megye";"13957";"14432,5";
"";"";"";"Vas megye";"8272";"8367,0";
"";"";"";"Zala megye";"8940";"9102,0";
"";"";"";"Baranya megye";"11463";"11616,0";
"";"";"";"Somogy megye";"9873";"9959,0";
"";"";"";"Tolna megye";"7240";"7353,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"20729";"20896,5";
"";"";"";"Heves megye";"9131";"9271,0";
"";"";"";"Nógrád megye";"6319";"6400,5";
"";"";"";"Hajdú-Bihar megye";"16458";"16755,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"17940";"18204,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"11634";"11822,0";
"";"";"";"Bács-Kiskun megye";"15894";"16174,0";
"";"";"";"Békés megye";"11130";"11288,0";
"";"";"";"Csongrád megye";"12216";"12572,0";
"";"";"55 - 59 éves";"Budapest";"40343";"40228,5";
"";"";"";"Pest megye";"32631";"32645,5";
"";"";"";"Fejér megye";"12596";"12470,0";
"";"";"";"Komárom-Esztergom megye";"8811";"8787,0";
"";"";"";"Veszprém megye";"10986";"10825,0";
"";"";"";"Gyõr-Moson-Sopron megye";"12986";"12846,0";
"";"";"";"Vas megye";"7956";"7932,5";
"";"";"";"Zala megye";"9190";"9004,5";
"";"";"";"Baranya megye";"11974";"11692,0";
"";"";"";"Somogy megye";"9864";"9754,5";
"";"";"";"Tolna megye";"7021";"6965,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"20116";"19789,5";
"";"";"";"Heves megye";"9051";"8932,5";
"";"";"";"Nógrád megye";"6465";"6350,5";
"";"";"";"Hajdú-Bihar megye";"15799";"15571,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"17326";"17017,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"11219";"11043,5";
"";"";"";"Bács-Kiskun megye";"15653";"15405,5";
"";"";"";"Békés megye";"10559";"10410,5";
"";"";"";"Csongrád megye";"11233";"11117,0";
"";"";"60 - 64 éves";"Budapest";"50838";"48715,5";
"";"";"";"Pest megye";"38014";"37031,0";
"";"";"";"Fejér megye";"14646";"14393,5";
"";"";"";"Komárom-Esztergom megye";"9958";"9775,0";
"";"";"";"Veszprém megye";"12580";"12446,5";
"";"";"";"Gyõr-Moson-Sopron megye";"14891";"14710,5";
"";"";"";"Vas megye";"9210";"9064,0";
"";"";"";"Zala megye";"10663";"10571,5";
"";"";"";"Baranya megye";"13282";"13223,5";
"";"";"";"Somogy megye";"11795";"11600,0";
